year,field_of_study,major,students
2010/11,Humanities,"Foreign Languages, Literatures and Linguistics",6669
2010/11,Humanities,Philosophy and Religious Studies,2215
2010/11,Humanities,Theology and Religious Vocations,2410
2010/11,Intensive English,Intensive English,32306
2010/11,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1093
2010/11,Legal Studies and Law Enforcement,Legal Professions and Studies,9656
2010/11,Math and Computer Science,Computer and Information Sciences,46849
2010/11,Math and Computer Science,Mathematics and Statistics,17739
2010/11,Other Fields of Study,Basic Skills,
2010/11,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3676
2010/11,Other Fields of Study,Liberal Arts and Sciences/General Studies,36856
2010/11,Other Fields of Study,Library Science,431
2010/11,Other Fields of Study,Multi/Interdisciplinary Studies,9663
2010/11,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3909
2010/11,Other Fields of Study,Personal and Culinary Services,1317
2010/11,Other Fields of Study,Reserve Officer Training Corps,96
2010/11,Physical and Life Sciences,Biological and Biomedical Sciences,34784
2010/11,Physical and Life Sciences,Physical Sciences,27674
2010/11,Physical and Life Sciences,Science Technologies/Technicians,1013
2010/11,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2317
2010/11,Social Sciences,History,2289
2010/11,Social Sciences,Psychology,9569
2010/11,Social Sciences,Public Administration and Social Service Professions,6763
2010/11,Social Sciences,Social Sciences,37407
2010/11,Undeclared,Undeclared,19898
2011/12,Agriculture,Agriculture,6535
2011/12,Agriculture,Natural Resources and Conservation,3215
2011/12,Business and Management,Business and Management,164943
2011/12,Communications and Journalism,"Communication, Journalism",13169
2011/12,Communications and Journalism,Communications Technologies/Technicians,2538
2011/12,Education,Education,17200
2011/12,Engineering,Construction Trades,157
2011/12,Engineering,Engineering,132414
2011/12,Engineering,Engineering Technologies/Technicians,6504
2011/12,Engineering,Mechanic and Repair Technologies/Technicians,527
2011/12,Engineering,Military Technologies,28
2011/12,Engineering,Precision Production,40
2011/12,Engineering,Transportation and Materials Moving,1643
2011/12,Fine and Applied Arts,Architecture,9992
2011/12,Fine and Applied Arts,Visual and Performing Arts,31718
2011/12,Health Professions,Health Professions,29535
2011/12,Health Professions,Residency Programs,287
2011/12,Humanities,English Language and Literature/Letters,5018
2011/12,Humanities,"Foreign Languages, Literatures and Linguistics",6498
2011/12,Humanities,Philosophy and Religious Studies,2237
2011/12,Humanities,Theology and Religious Vocations,2541
2011/12,Intensive English,Intensive English,38887
2011/12,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1406
2011/12,Legal Studies and Law Enforcement,Legal Professions and Studies,9779
2011/12,Math and Computer Science,Computer and Information Sciences,51333
2011/12,Math and Computer Science,Mathematics and Statistics,20031
2011/12,Other Fields of Study,Basic Skills,
2011/12,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3452
2011/12,Other Fields of Study,Liberal Arts and Sciences/General Studies,36919
2011/12,Other Fields of Study,Library Science,378
2011/12,Other Fields of Study,Multi/Interdisciplinary Studies,10701
2011/12,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3783
2011/12,Other Fields of Study,Personal and Culinary Services,1790
2011/12,Other Fields of Study,Reserve Officer Training Corps,1
2011/12,Physical and Life Sciences,Biological and Biomedical Sciences,35815
2011/12,Physical and Life Sciences,Physical Sciences,29281
2011/12,Physical and Life Sciences,Science Technologies/Technicians,911
2011/12,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2181
2011/12,Social Sciences,History,2177
2011/12,Social Sciences,Psychology,10239
2011/12,Social Sciences,Public Administration and Social Service Professions,7136
2011/12,Social Sciences,Social Sciences,39241
2011/12,Undeclared,Undeclared,22315
2012/13,Agriculture,Agriculture,7043
2012/13,Agriculture,Natural Resources and Conservation,3420
2012/13,Business and Management,Business and Management,177741
2012/13,Communications and Journalism,"Communication, Journalism",14938
2012/13,Communications and Journalism,Communications Technologies/Technicians,2559
2012/13,Education,Education,17011
2012/13,Engineering,Construction Trades,150
2012/13,Engineering,Engineering,144805
2012/13,Engineering,Engineering Technologies/Technicians,6553
2012/13,Engineering,Mechanic and Repair Technologies/Technicians,455
2012/13,Engineering,Military Technologies,53
2012/13,Engineering,Precision Production,62
2012/13,Engineering,Transportation and Materials Moving,2161
2012/13,Fine and Applied Arts,Architecture,10918
2012/13,Fine and Applied Arts,Visual and Performing Arts,34932
2012/13,Health Professions,Health Professions,31222
2012/13,Health Professions,Residency Programs,249
2012/13,Humanities,English Language and Literature/Letters,5196
2012/13,Humanities,"Foreign Languages, Literatures and Linguistics",6774
2012/13,Humanities,Philosophy and Religious Studies,2122
2012/13,Humanities,Theology and Religious Vocations,3029
2012/13,Intensive English,Intensive English,39990
2012/13,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1343
2012/13,Legal Studies and Law Enforcement,Legal Professions and Studies,9955
2012/13,Math and Computer Science,Computer and Information Sciences,53953
2012/13,Math and Computer Science,Mathematics and Statistics,23607
2012/13,Other Fields of Study,Basic Skills,1443
2012/13,Other Fields of Study,Family and Consumer Sciences/Human Sciences,4116
2012/13,Other Fields of Study,Liberal Arts and Sciences/General Studies,35172
2012/13,Other Fields of Study,Library Science,393
2012/13,Other Fields of Study,Multi/Interdisciplinary Studies,10991
2012/13,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4145
2012/13,Other Fields of Study,Personal and Culinary Services,1243
2012/13,Other Fields of Study,Reserve Officer Training Corps,7
2012/13,Physical and Life Sciences,Biological and Biomedical Sciences,36780
2012/13,Physical and Life Sciences,Physical Sciences,31352
2012/13,Physical and Life Sciences,Science Technologies/Technicians,1020
2012/13,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2298
2012/13,Social Sciences,History,2313
2012/13,Social Sciences,Psychology,11271
2012/13,Social Sciences,Public Administration and Social Service Professions,7602
2012/13,Social Sciences,Social Sciences,44302
2012/13,Undeclared,Undeclared,24955
2013/14,Agriculture,Agriculture,7114
2013/14,Agriculture,Natural Resources and Conservation,3521
2013/14,Business and Management,Business and Management,188179
2013/14,Communications and Journalism,"Communication, Journalism",15851
2013/14,Communications and Journalism,Communications Technologies/Technicians,2827
2013/14,Education,Education,17879
2013/14,Engineering,Construction Trades,203
2013/14,Engineering,Engineering,160128
2013/14,Engineering,Engineering Technologies/Technicians,7310
2013/14,Engineering,Mechanic and Repair Technologies/Technicians,581
2013/14,Engineering,Military Technologies,10
2013/14,Engineering,Precision Production,54
2013/14,Engineering,Transportation and Materials Moving,1903
2013/14,Fine and Applied Arts,Architecture,12105
2013/14,Fine and Applied Arts,Visual and Performing Arts,39090
2013/14,Health Professions,Health Professions,31527
2013/14,Health Professions,Residency Programs,427
2013/14,Humanities,English Language and Literature/Letters,5446
2013/14,Humanities,"Foreign Languages, Literatures and Linguistics",7079
2013/14,Humanities,Philosophy and Religious Studies,2173
2013/14,Humanities,Theology and Religious Vocations,3232
2013/14,Intensive English,Intensive English,43456
2013/14,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1830
2013/14,Legal Studies and Law Enforcement,Legal Professions and Studies,10872
2013/14,Math and Computer Science,Computer and Information Sciences,65291
2013/14,Math and Computer Science,Mathematics and Statistics,26143
2013/14,Other Fields of Study,Basic Skills,2092
2013/14,Other Fields of Study,Family and Consumer Sciences/Human Sciences,4056
2013/14,Other Fields of Study,Liberal Arts and Sciences/General Studies,39137
2013/14,Other Fields of Study,Library Science,402
2013/14,Other Fields of Study,Multi/Interdisciplinary Studies,12197
2013/14,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4228
2013/14,Other Fields of Study,Personal and Culinary Services,1132
2013/14,Other Fields of Study,Reserve Officer Training Corps,13
2013/14,Physical and Life Sciences,Biological and Biomedical Sciences,37357
2013/14,Physical and Life Sciences,Physical Sciences,32187
2013/14,Physical and Life Sciences,Science Technologies/Technicians,935
2013/14,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2616
2013/14,Social Sciences,History,2445
2013/14,Social Sciences,Psychology,12060
2013/14,Social Sciences,Public Administration and Social Service Professions,8089
2013/14,Social Sciences,Social Sciences,47180
2013/14,Undeclared,Undeclared,25695
2014/15,Agriculture,Agriculture,8271
2014/15,Agriculture,Natural Resources and Conservation,4007
2014/15,Business and Management,Business and Management,197258
2014/15,Communications and Journalism,"Communication, Journalism",16964
2014/15,Communications and Journalism,Communications Technologies/Technicians,3197
2014/15,Education,Education,17675
2014/15,Engineering,Construction Trades,183
2014/15,Engineering,Engineering,184603
2014/15,Engineering,Engineering Technologies/Technicians,9149
2014/15,Engineering,Mechanic and Repair Technologies/Technicians,538
2014/15,Engineering,Military Technologies,16
2014/15,Engineering,Precision Production,69
2014/15,Engineering,Transportation and Materials Moving,2192
2014/15,Fine and Applied Arts,Architecture,13507
2014/15,Fine and Applied Arts,Visual and Performing Arts,43251
2014/15,Health Professions,Health Professions,33247
2014/15,Health Professions,Residency Programs,152
2014/15,Humanities,English Language and Literature/Letters,5340
2014/15,Humanities,"Foreign Languages, Literatures and Linguistics",7389
2014/15,Humanities,Philosophy and Religious Studies,2101
2014/15,Humanities,Theology and Religious Vocations,2674
2014/15,Intensive English,Intensive English,49233
2014/15,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2002
2014/15,Legal Studies and Law Enforcement,Legal Professions and Studies,11776
2014/15,Math and Computer Science,Computer and Information Sciences,83241
2014/15,Math and Computer Science,Mathematics and Statistics,29709
2014/15,Other Fields of Study,Basic Skills,2705
2014/15,Other Fields of Study,Family and Consumer Sciences/Human Sciences,4158
2014/15,Other Fields of Study,Liberal Arts and Sciences/General Studies,45762
2014/15,Other Fields of Study,Library Science,301
2014/15,Other Fields of Study,Multi/Interdisciplinary Studies,14912
2014/15,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4252
2014/15,Other Fields of Study,Personal and Culinary Services,1078
2014/15,Other Fields of Study,Reserve Officer Training Corps,8
2014/15,Physical and Life Sciences,Biological and Biomedical Sciences,39294
2014/15,Physical and Life Sciences,Physical Sciences,33607
2014/15,Physical and Life Sciences,Science Technologies/Technicians,937
2014/15,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2504
2014/15,Social Sciences,History,2420
2014/15,Social Sciences,Psychology,12840
2014/15,Social Sciences,Public Administration and Social Service Professions,8816
2014/15,Social Sciences,Social Sciences,49371
2014/15,Undeclared,Undeclared,24217
2015/16,Agriculture,Agriculture,8043
2015/16,Agriculture,Natural Resources and Conservation,4275
2015/16,Business and Management,Business and Management,200312
2015/16,Communications and Journalism,"Communication, Journalism",18483
2015/16,Communications and Journalism,Communications Technologies/Technicians,2677
2015/16,Education,Education,19483
2015/16,Engineering,Construction Trades,255
2015/16,Engineering,Engineering,201145
2015/16,Engineering,Engineering Technologies/Technicians,12871
2015/16,Engineering,Mechanic and Repair Technologies/Technicians,671
2015/16,Engineering,Military Technologies,116
2015/16,Engineering,Precision Production,75
2015/16,Engineering,Transportation and Materials Moving,1799
2015/16,Fine and Applied Arts,Architecture,14131
2015/16,Fine and Applied Arts,Visual and Performing Arts,45605
2015/16,Health Professions,Health Professions,33646
2015/16,Health Professions,Residency Programs,301
2015/16,Humanities,English Language and Literature/Letters,5052
2015/16,Humanities,"Foreign Languages, Literatures and Linguistics",7298
2015/16,Humanities,Philosophy and Religious Studies,2170
2015/16,Humanities,Theology and Religious Vocations,3144
2015/16,Intensive English,Intensive English,40877
2015/16,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2368
2015/16,Legal Studies and Law Enforcement,Legal Professions and Studies,12709
2015/16,Math and Computer Science,Computer and Information Sciences,107682
2015/16,Math and Computer Science,Mathematics and Statistics,33969
2015/16,Other Fields of Study,Basic Skills,3101
2015/16,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3869
2015/16,Other Fields of Study,Liberal Arts and Sciences/General Studies,50360
2015/16,Other Fields of Study,Library Science,350
2015/16,Other Fields of Study,Multi/Interdisciplinary Studies,17795
2015/16,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5083
2015/16,Other Fields of Study,Personal and Culinary Services,737
2015/16,Other Fields of Study,Reserve Officer Training Corps,23
2015/16,Physical and Life Sciences,Biological and Biomedical Sciences,40184
2015/16,Physical and Life Sciences,Physical Sciences,33525
2015/16,Physical and Life Sciences,Science Technologies/Technicians,1676
2015/16,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2656
2015/16,Social Sciences,History,3150
2015/16,Social Sciences,Psychology,14189
2015/16,Social Sciences,Public Administration and Social Service Professions,8741
2015/16,Social Sciences,Social Sciences,52568
2015/16,Undeclared,Undeclared,26675
2016/17,Agriculture,Agriculture,7798
2016/17,Agriculture,Natural Resources and Conservation,4804
2016/17,Business and Management,Business and Management,200754
2016/17,Communications and Journalism,"Communication, Journalism",18622
2016/17,Communications and Journalism,Communications Technologies/Technicians,3291
2016/17,Education,Education,17993
2016/17,Engineering,Construction Trades,276
2016/17,Engineering,Engineering,212140
2016/17,Engineering,Engineering Technologies/Technicians,15309
2016/17,Engineering,Mechanic and Repair Technologies/Technicians,659
2016/17,Engineering,Military Technologies,267
2016/17,Engineering,Precision Production,85
2016/17,Engineering,Transportation and Materials Moving,1975
2016/17,Fine and Applied Arts,Architecture,15332
2016/17,Fine and Applied Arts,Visual and Performing Arts,46174
2016/17,Health Professions,Health Professions,34181
2016/17,Health Professions,Residency Programs,214
2016/17,Humanities,English Language and Literature/Letters,5105
2016/17,Humanities,"Foreign Languages, Literatures and Linguistics",7521
2016/17,Humanities,Philosophy and Religious Studies,2524
2016/17,Humanities,Theology and Religious Vocations,2411
2016/17,Intensive English,Intensive English,30309
2016/17,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2281
2016/17,Legal Studies and Law Enforcement,Legal Professions and Studies,13025
2016/17,Math and Computer Science,Computer and Information Sciences,127324
2016/17,Math and Computer Science,Mathematics and Statistics,39856
2016/17,Other Fields of Study,Basic Skills,2847
2016/17,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3763
2016/17,Other Fields of Study,Liberal Arts and Sciences/General Studies,54005
2016/17,Other Fields of Study,Library Science,320
2016/17,Other Fields of Study,Multi/Interdisciplinary Studies,20359
2016/17,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5299
2016/17,Other Fields of Study,Personal and Culinary Services,979
2016/17,Other Fields of Study,Reserve Officer Training Corps,5
2016/17,Physical and Life Sciences,Biological and Biomedical Sciences,41589
2016/17,Physical and Life Sciences,Physical Sciences,34484
2016/17,Physical and Life Sciences,Science Technologies/Technicians,765
2016/17,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2805
2016/17,Social Sciences,History,2572
2016/17,Social Sciences,Psychology,14912
2016/17,Social Sciences,Public Administration and Social Service Professions,8641
2016/17,Social Sciences,Social Sciences,54116
2016/17,Undeclared,Undeclared,21131
2017/18,Agriculture,Agriculture,7745
2017/18,Agriculture,Natural Resources and Conservation,4728
2017/18,Business and Management,Business and Management,196054
2017/18,Communications and Journalism,"Communication, Journalism",19804
2017/18,Communications and Journalism,Communications Technologies/Technicians,3020
2017/18,Education,Education,17615
2017/18,Engineering,Construction Trades,186
2017/18,Engineering,Engineering,215290
2017/18,Engineering,Engineering Technologies/Technicians,14010
2017/18,Engineering,Mechanic and Repair Technologies/Technicians,567
2017/18,Engineering,Military Technologies,73
2017/18,Engineering,Precision Production,88
2017/18,Engineering,Transportation and Materials Moving,2496
2017/18,Fine and Applied Arts,Architecture,15252
2017/18,Fine and Applied Arts,Visual and Performing Arts,48543
2017/18,Health Professions,Health Professions,34858
2017/18,Health Professions,Residency Programs,311
2017/18,Humanities,English Language and Literature/Letters,4994
2017/18,Humanities,"Foreign Languages, Literatures and Linguistics",7508
2017/18,Humanities,Philosophy and Religious Studies,2608
2017/18,Humanities,Theology and Religious Vocations,1930
2017/18,Intensive English,Intensive English,25845
2017/18,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2247
2017/18,Legal Studies and Law Enforcement,Legal Professions and Studies,14647
2017/18,Math and Computer Science,Computer and Information Sciences,144574
2017/18,Math and Computer Science,Mathematics and Statistics,41429
2017/18,Other Fields of Study,Basic Skills,3058
2017/18,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3793
2017/18,Other Fields of Study,Liberal Arts and Sciences/General Studies,52976
2017/18,Other Fields of Study,Library Science,282
2017/18,Other Fields of Study,Multi/Interdisciplinary Studies,22378
2017/18,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5404
2017/18,Other Fields of Study,Personal and Culinary Services,822
2017/18,Other Fields of Study,Reserve Officer Training Corps,7
2017/18,Physical and Life Sciences,Biological and Biomedical Sciences,42996
2017/18,Physical and Life Sciences,Physical Sciences,35018
2017/18,Physical and Life Sciences,Science Technologies/Technicians,686
2017/18,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2827
2017/18,Social Sciences,History,2485
2017/18,Social Sciences,Psychology,15462
2017/18,Social Sciences,Public Administration and Social Service Professions,8368
2017/18,Social Sciences,Social Sciences,54566
2017/18,Undeclared,Undeclared,17242
2018/19,Agriculture,Agriculture,8538
2018/19,Agriculture,Natural Resources and Conservation,5216
2018/19,Business and Management,Business and Management,182170
2018/19,Communications and Journalism,"Communication, Journalism",19797
2018/19,Communications and Journalism,Communications Technologies/Technicians,4220
2018/19,Education,Education,16786
2018/19,Engineering,Construction Trades,313
2018/19,Engineering,Engineering,214331
2018/19,Engineering,Engineering Technologies/Technicians,13275
2018/19,Engineering,Mechanic and Repair Technologies/Technicians,605
2018/19,Engineering,Military Technologies,89
2018/19,Engineering,Precision Production,82
2018/19,Engineering,Transportation and Materials Moving,2085
2018/19,Fine and Applied Arts,Architecture,14690
2018/19,Fine and Applied Arts,Visual and Performing Arts,48407
2018/19,Health Professions,Health Professions,35269
2018/19,Health Professions,Residency Programs,177
2018/19,Humanities,English Language and Literature/Letters,4916
2018/19,Humanities,"Foreign Languages, Literatures and Linguistics",7357
2018/19,Humanities,Philosophy and Religious Studies,2673
2018/19,Humanities,Theology and Religious Vocations,2067
2018/19,Intensive English,Intensive English,22026
2018/19,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2322
2018/19,Legal Studies and Law Enforcement,Legal Professions and Studies,14161
2018/19,Math and Computer Science,Computer and Information Sciences,156654
2018/19,Math and Computer Science,Mathematics and Statistics,46807
2018/19,Other Fields of Study,Basic Skills,2790
2018/19,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3951
2018/19,Other Fields of Study,Liberal Arts and Sciences/General Studies,51270
2018/19,Other Fields of Study,Library Science,307
2018/19,Other Fields of Study,Multi/Interdisciplinary Studies,21052
2018/19,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",6008
2018/19,Other Fields of Study,Personal and Culinary Services,671
2018/19,Other Fields of Study,Reserve Officer Training Corps,8
2018/19,Physical and Life Sciences,Biological and Biomedical Sciences,45338
2018/19,Physical and Life Sciences,Physical Sciences,35349
2018/19,Physical and Life Sciences,Science Technologies/Technicians,893
2018/19,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2697
2018/19,Social Sciences,History,2585
2018/19,Social Sciences,Psychology,16139
2018/19,Social Sciences,Public Administration and Social Service Professions,8248
2018/19,Social Sciences,Social Sciences,54651
2018/19,Undeclared,Undeclared,18309
2019/20,Agriculture,Agriculture,7857
2019/20,Agriculture,Natural Resources and Conservation,5277
2019/20,Business and Management,Business and Management,174470
2019/20,Communications and Journalism,"Communication, Journalism",20587
2019/20,Communications and Journalism,Communications Technologies/Technicians,3338
2019/20,Education,Education,15700
2019/20,Engineering,Construction Trades,147
2019/20,Engineering,Engineering,202697
2019/20,Engineering,Engineering Technologies/Technicians,14081
2019/20,Engineering,Mechanic and Repair Technologies/Technicians,587
2019/20,Engineering,Military Technologies,263
2019/20,Engineering,Precision Production,77
2019/20,Engineering,Transportation and Materials Moving,2690
2019/20,Fine and Applied Arts,Architecture,14959
2019/20,Fine and Applied Arts,Visual and Performing Arts,49542
2019/20,Health Professions,Health Professions,34711
2019/20,Health Professions,Residency Programs,223
2019/20,Humanities,English Language and Literature/Letters,4715
2019/20,Humanities,"Foreign Languages, Literatures and Linguistics",7293
2019/20,Humanities,Philosophy and Religious Studies,2896
2019/20,Humanities,Theology and Religious Vocations,2088
2019/20,Intensive English,Intensive English,21301
2019/20,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2071
2019/20,Legal Studies and Law Enforcement,Legal Professions and Studies,14198
2019/20,Math and Computer Science,Computer and Information Sciences,157566
2019/20,Math and Computer Science,Mathematics and Statistics,47641
2019/20,Other Fields of Study,Basic Skills,3481
2019/20,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3891
2019/20,Other Fields of Study,Liberal Arts and Sciences/General Studies,45775
2019/20,Other Fields of Study,Library Science,263
2019/20,Other Fields of Study,Multi/Interdisciplinary Studies,21738
2019/20,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5963
2019/20,Other Fields of Study,Personal and Culinary Services,669
2019/20,Other Fields of Study,Reserve Officer Training Corps,57
2019/20,Physical and Life Sciences,Biological and Biomedical Sciences,45298
2019/20,Physical and Life Sciences,Physical Sciences,35773
2019/20,Physical and Life Sciences,Science Technologies/Technicians,900
2019/20,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2695
2019/20,Social Sciences,History,2618
2019/20,Social Sciences,Psychology,16984
2019/20,Social Sciences,Public Administration and Social Service Professions,7739
2019/20,Social Sciences,Social Sciences,54404
2019/20,Undeclared,Undeclared,20273
2020/21,Agriculture,Agriculture,7348
2020/21,Agriculture,Natural Resources and Conservation,5012
2020/21,Business and Management,Business and Management,145658
2020/21,Communications and Journalism,"Communication, Journalism",17308
2020/21,Communications and Journalism,Communications Technologies/Technicians,3305
2020/21,Education,Education,15402
2020/21,Engineering,Construction Trades,136
2020/21,Engineering,Engineering,175076
2020/21,Engineering,Engineering Technologies/Technicians,12276
2020/21,Engineering,Mechanic and Repair Technologies/Technicians,326
2020/21,Engineering,Military Technologies,123
2020/21,Engineering,Precision Production,54
2020/21,Engineering,Transportation and Materials Moving,2599
2020/21,Fine and Applied Arts,Architecture,12914
2020/21,Fine and Applied Arts,Visual and Performing Arts,38187
2020/21,Health Professions,Health Professions,31768
2020/21,Health Professions,Residency Programs,700
2020/21,Humanities,English Language and Literature/Letters,3505
2020/21,Humanities,"Foreign Languages, Literatures and Linguistics",6446
2020/21,Humanities,Philosophy and Religious Studies,2845
2020/21,Humanities,Theology and Religious Vocations,1906
2020/21,Intensive English,Intensive English,8355
2020/21,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1950
2020/21,Legal Studies and Law Enforcement,Legal Professions and Studies,9734
2020/21,Math and Computer Science,Computer and Information Sciences,139621
2020/21,Math and Computer Science,Mathematics and Statistics,42485
2020/21,Other Fields of Study,Basic Skills,1170
2020/21,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2851
2020/21,Other Fields of Study,Liberal Arts and Sciences/General Studies,33266
2020/21,Other Fields of Study,Library Science,238
2020/21,Other Fields of Study,Multi/Interdisciplinary Studies,19876
2020/21,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5728
2020/21,Other Fields of Study,Personal and Culinary Services,775
2020/21,Other Fields of Study,Reserve Officer Training Corps,138
2020/21,Physical and Life Sciences,Biological and Biomedical Sciences,42067
2020/21,Physical and Life Sciences,Physical Sciences,31964
2020/21,Physical and Life Sciences,Science Technologies/Technicians,998
2020/21,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2217
2020/21,Social Sciences,History,2369
2020/21,Social Sciences,Psychology,16196
2020/21,Social Sciences,Public Administration and Social Service Professions,6360
2020/21,Social Sciences,Social Sciences,49277
2020/21,Undeclared,Undeclared,13566
2021/22,Agriculture,Agriculture,7546
2021/22,Agriculture,Natural Resources and Conservation,5179
2021/22,Business and Management,Business and Management,147293
2021/22,Communications and Journalism,"Communication, Journalism",16771
2021/22,Communications and Journalism,Communications Technologies/Technicians,2931
2021/22,Education,Education,15272
2021/22,Engineering,Construction Trades,140
2021/22,Engineering,Engineering,173718
2021/22,Engineering,Engineering Technologies/Technicians,11261
2021/22,Engineering,Mechanic and Repair Technologies/Technicians,353
2021/22,Engineering,Military Technologies,133
2021/22,Engineering,Precision Production,50
2021/22,Engineering,Transportation and Materials Moving,2539
2021/22,Fine and Applied Arts,Architecture,12395
2021/22,Fine and Applied Arts,Visual and Performing Arts,38741
2021/22,Health Professions,Health Professions,31379
2021/22,Health Professions,Residency Programs,673
2021/22,Humanities,English Language and Literature/Letters,3816
2021/22,Humanities,"Foreign Languages, Literatures and Linguistics",6343
2021/22,Humanities,Philosophy and Religious Studies,2838
2021/22,Humanities,Theology and Religious Vocations,2207
2021/22,Intensive English,Intensive English,7358
2021/22,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1853
2021/22,Legal Studies and Law Enforcement,Legal Professions and Studies,11940
2021/22,Math and Computer Science,Computer and Information Sciences,157896
2021/22,Math and Computer Science,Mathematics and Statistics,42405
2021/22,Other Fields of Study,Basic Skills,1581
2021/22,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2329
2021/22,Other Fields of Study,Liberal Arts and Sciences/General Studies,37228
2021/22,Other Fields of Study,Library Science,212
2021/22,Other Fields of Study,Multi/Interdisciplinary Studies,22932
2021/22,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",6095
2021/22,Other Fields of Study,Personal and Culinary Services,544
2021/22,Other Fields of Study,Reserve Officer Training Corps,27
2021/22,Physical and Life Sciences,Biological and Biomedical Sciences,45214
2021/22,Physical and Life Sciences,Physical Sciences,32917
2021/22,Physical and Life Sciences,Science Technologies/Technicians,581
2021/22,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2373
2021/22,Social Sciences,History,2428
2021/22,Social Sciences,Psychology,16832
2021/22,Social Sciences,Public Administration and Social Service Professions,6780
2021/22,Social Sciences,Social Sciences,50357
2021/22,Undeclared,Undeclared,17059
2022/23,Agriculture,Agriculture,7868
2022/23,Agriculture,Natural Resources and Conservation,5593
2022/23,Business and Management,Business and Management,157281
2022/23,Communications and Journalism,"Communication, Journalism",18059
2022/23,Communications and Journalism,Communications Technologies/Technicians,3931
2022/23,Education,Education,15897
2022/23,Engineering,Construction Trades,248
2022/23,Engineering,Engineering,183048
2022/23,Engineering,Engineering Technologies/Technicians,16132
2022/23,Engineering,Mechanic and Repair Technologies/Technicians,361
2022/23,Engineering,Military Technologies,295
2022/23,Engineering,Precision Production,43
2022/23,Engineering,Transportation and Materials Moving,2674
2022/23,Fine and Applied Arts,Architecture,13242
2022/23,Fine and Applied Arts,Visual and Performing Arts,38447
2022/23,Health Professions,Health Professions,33785
2022/23,Health Professions,Residency Programs,1071
2022/23,Humanities,English Language and Literature/Letters,4116
2022/23,Humanities,"Foreign Languages, Literatures and Linguistics",6416
2022/23,Humanities,Philosophy and Religious Studies,3146
2022/23,Humanities,Theology and Religious Vocations,2105
2022/23,Intensive English,Intensive English,10404
2022/23,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2084
2022/23,Legal Studies and Law Enforcement,Legal Professions and Studies,14012
2022/23,Math and Computer Science,Computer and Information Sciences,196727
2022/23,Math and Computer Science,Mathematics and Statistics,43503
2022/23,Other Fields of Study,Basic Skills,3076
2022/23,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2250
2022/23,Other Fields of Study,Liberal Arts and Sciences/General Studies,43067
2022/23,Other Fields of Study,Library Science,103
